运单编号,签收省份,重量,价格
400920319759,北京,0.2,5.2
400992417910,浙江省,0.75,3.7
401026343438,江苏省,0.35,3.7
400988142947,安徽省,0.3,3.7
401034922772,江苏省,0.2,3.7
400978566996,江苏省,0.2,3.7
400979765912,江苏省,0.2,3.7
401240746751,上海,0.2,3.7
401165787830,四川省,0.2,5.6
400949583073,浙江省,0.2,3.7
401148358382,重庆,0.2,5.6
400983795002,安徽省,0.55,3.7
401024625372,浙江省,0.3,3.7
401238677265,重庆,0.2,5.6
401734613062,安徽省,1.05,4.7
401075846807,江苏省,0.2,3.7
757195930016,上海,0.2,3.7
401351421926,上海,0.2,3.7
401379316556,上海,0.2,3.7
401068495437,浙江省,0.35,3.7
757193007432,江西省,0.2,5.2
401263267620,四川省,0.2,5.6
401125370236,浙江省,0.2,3.7
401077523370,浙江省,0.45,3.7
401262482232,云南省,0.2,5.6
401279523481,四川省,0.2,5.6
401064381219,江苏省,0.25,3.7
401068584356,江苏省,0.25,3.7
401364748226,四川省,0.2,5.6
401328243546,四川省,0.2,5.6
401067856903,江苏省,0.2,3.7
401324600314,云南省,0.2,5.6
401103367969,浙江省,0.4,3.7
401331127153,四川省,0.2,5.6
401068841969,安徽省,0.2,3.7
401101469423,安徽省,0.45,3.7
401325634759,陕西省,0.2,5.6
401147118757,四川省,0.2,5.6
401112549493,江苏省,0.2,3.7
401196424563,四川省,0.2,5.6
401150187349,陕西省,0.2,5.6
401242261960,四川省,0.2,5.6
401189389750,上海,0.2,3.7
401122974428,江苏省,0.6,3.7
401101458513,江苏省,0.55,3.7
401095657639,浙江省,0.2,3.7
400913427055,安徽省,0.2,3.7
400946982059,安徽省,0.2,3.7
400915504189,浙江省,0.2,3.7
400930376574,安徽省,0.2,3.7
401237398207,四川省,0.2,5.6
400944597801,安徽省,0.4,3.7
400946982041,浙江省,0.65,3.7
400912865405,江苏省,0.3,3.7
400941999420,江苏省,0.2,3.7
401282917929,云南省,0.2,5.6
401771760016,浙江省,1.05,4.7
401346663231,上海,0.2,3.7
401235033642,四川省,0.2,5.6
401333759220,湖北省,0.2,5.2
400946061134,浙江省,0.2,3.7
400921152379,浙江省,0.2,3.7
401385697716,上海,0.2,3.7
400931943228,安徽省,0.2,3.7
401343641266,四川省,0.2,5.6
400929261535,江苏省,0.5,3.7
401350164677,陕西省,0.2,5.6
401325092111,四川省,0.2,5.6
401321256646,四川省,0.2,5.6
401119183518,湖南省,0.2,5.2
401299045036,重庆,0.2,5.6
401321256653,陕西省,0.2,5.6
401207211670,四川省,0.2,5.6
401284589873,上海,0.2,3.7
401034729708,江苏省,0.45,3.7
401353057595,上海,0.2,3.7
401320371558,上海,0.2,3.7
401168286319,四川省,0.2,5.6
400973353542,江苏省,0.2,3.7
400981180440,浙江省,0.2,3.7
401349208716,上海,0.2,3.7
401211289157,上海,0.2,3.7
401164643298,上海,0.2,3.7
401018778085,江苏省,0.2,3.7
401022715897,江苏省,0.5,3.7
400979463851,江苏省,0.2,3.7
401161609988,重庆,0.2,5.6
401242586547,上海,0.2,3.7
401163280037,重庆,0.2,5.6
400989970773,浙江省,0.55,3.7
400986790103,浙江省,0.2,3.7
400989970842,浙江省,0.7,3.7
400978124013,浙江省,0.3,3.7
401737070824,浙江省,1.05,4.7
401196424531,陕西省,0.2,5.6
401148272116,陕西省,0.2,5.6
401172986463,贵州省,0.2,5.6
401250570616,山西省,0.2,5.6
401262482240,重庆,0.2,5.6
401104483657,浙江省,0.25,3.7
401071244438,江苏省,0.2,3.7
401073528277,江苏省,0.25,3.7
401094774827,浙江省,0.25,3.7
401346549669,上海,0.2,3.7
401095657614,浙江省,0.2,3.7
401265731508,四川省,0.2,5.6
401069802233,江苏省,0.25,3.7
401230797756,四川省,0.2,5.6
401290172681,四川省,0.2,5.6
401250576200,四川省,0.2,5.6
401077523431,浙江省,0.25,3.7
401068274279,江苏省,0.2,3.7
401057679639,浙江省,0.25,3.7
401065658010,浙江省,0.35,3.7
401058796769,浙江省,0.2,3.7
401066503002,安徽省,0.2,3.7
401153650700,上海,0.2,3.7
401250570623,陕西省,0.2,5.6
401242586508,重庆,0.2,5.6
401068691888,江苏省,0.35,3.7
401350164746,上海,0.2,3.7
401100594455,浙江省,0.5,3.7
401115946976,安徽省,0.5,3.7
401235877653,四川省,0.2,5.6
401273704734,四川省,0.2,5.6
401116367810,江苏省,0.75,3.7
401384334219,湖南省,0.2,5.2
401115494515,江苏省,0.3,3.7
401237484458,重庆,0.2,5.6
757193007451,广东省,0.2,5.2
401111581155,江苏省,0.2,3.7
401123773152,江苏省,0.2,3.7
401204262341,上海,0.2,3.7
400946339708,浙江省,0.2,3.7
757193007448,陕西省,0.2,5.6
401243809519,四川省,0.2,5.6
401150187317,上海,0.2,3.7
401278093793,贵州省,0.2,5.6
401243388261,上海,0.2,3.7
400935589179,浙江省,0.4,3.7
401341258886,上海,0.2,3.7
400935589161,安徽省,0.85,3.7
401325659916,四川省,0.2,5.6
400940817560,江苏省,0.25,3.7
401293730978,四川省,0.2,5.6
401294431271,重庆,0.2,5.6
400984098571,浙江省,0.2,3.7
401348845586,重庆,0.2,5.6
