运单编号,目的地,计费重量,总运费,备注
3307568818340,河南省,0.2,6.3,
3307568818338,河北省,0.2,6.3,
3307571211987,湖北省,0.25,6.3,
3307509716451,湖北省,0.25,6.3,
3307509716440,湖南省,0.6,6.3,
3307509716438,山西省,0.45,6.3,
3307570891838,山东省,0.2,6.3,
3307570891840,广东省,0.2,6.3,
3307509716426,北京,0.95,6.3,
3307509716414,广东省,0.25,6.3,
3307570891851,山东省,0.2,6.3,
3307571211975,北京,0.31,6.3,
3307574497650,江西省,0.25,6.3,
3307571211999,河南省,0.2,6.3,
3307571212002,广东省,0.65,6.3,
3307571212014,山东省,0.35,6.3,
3307571212026,广东省,0.2,6.3,
3307574497612,北京,0.2,6.3,
3307574497624,湖北省,0.2,6.3,
3307574497636,福建省,0.2,6.3,
3307509716402,山西省,0.7,6.3,
3307574497648,福建省,0.45,6.3,
3307548589616,山东省,0.2,6.3,
3307548589586,北京,0.53,6.3,
3307547795807,北京,0.2,6.3,
3307547795832,福建省,0.25,6.3,
3307547795819,福建省,0.2,6.3,
3307547795825,福建省,0.2,6.3,
3307548589628,广东省,0.4,6.3,
3307548589574,河南省,0.24,6.3,
3307548589604,湖北省,0.2,6.3,
3307548589598,湖北省,0.6,6.3,
3307547795795,广东省,0.2,6.3,
3307557253078,辽宁省,0.2,6.3,
3307599932130,江苏省,1.22,5,
3307599932128,北京,0.72,6.3,
3307599932116,福建省,0.5,6.3,
3307599932104,河南省,0.48,6.3,
3307599932098,北京,0.37,6.3,
3307557253080,山东省,0.8,6.3,
3307599932141,甘肃省,0.42,6.3,
3307557253066,河北省,0.2,6.3,
3307557253054,新疆维吾尔自治区,0.54,6.3,
3307557253042,河南省,0.84,6.3,
3307557253035,河南省,0.2,6.3,
3307556536880,河南省,1.95,12.6,
3307556536878,山西省,0.25,6.3,
3307556536866,山东省,0.5,6.3,
3307559324763,江西省,0.29,6.3,
3307559324738,广东省,1.2,7.56,
3307559324726,山东省,0.5,6.3,
3307559324714,内蒙古自治区,0.38,6.3,
3307600804899,河北省,0.75,6.3,
3307559324751,福建省,0.67,6.3,
3307599932153,北京,0.16,6.3,
3307559324775,湖北省,0.66,6.3,
3307559324787,北京,0.2,6.3,
3307559324799,辽宁省,0.3,6.3,
3307559324805,河北省,0.34,6.3,
3307599932177,湖北省,0.62,6.3,
3307599932165,湖北省,0.5,6.3,
3307553092917,山西省,0.2,6.3,
3307553092980,北京,0.65,6.3,
3307553653496,福建省,0.69,6.3,
3307553653484,广东省,0.35,6.3,
3307553653472,河南省,0.02,6.3,
3307553093005,北京,0.2,6.3,
3307553092991,河南省,0.4,6.3,
3307553653502,北京,0.65,6.3,
3307553092978,山西省,0.5,6.3,
3307553092966,山西省,0.35,6.3,
3307553092954,河南省,0.7,6.3,
3307553092942,河北省,0.6,6.3,
3307553092935,北京,0.4,6.3,
3307553092929,北京,0.35,6.3,
3307556536854,河北省,0.85,6.3,
3307556536799,北京,0.25,6.3,
3307556536842,山西省,0.65,6.3,
3307556536835,广西壮族自治区,0.65,6.3,
3307556536829,湖南省,0.8,6.3,
3307556536817,河南省,0.73,6.3,
3307556536805,甘肃省,0.66,6.3,
3307553653514,天津,0.7,6.3,
3307599932086,广东省,0.28,6.3,
3307553653563,北京,0.32,6.3,
3307553653551,江西省,0.55,6.3,
3307553653540,河南省,0.24,6.3,
3307553653538,福建省,1.1,6.93,
3307553653526,北京,0.75,6.3,
3307559324740,广东省,0.4,6.3,
3307484869954,宁夏回族自治区,0.2,6.3,
3307504073191,北京,0.72,6.3,
3307504073180,广东省,0.34,6.3,
3307504073178,广东省,0.45,6.3,
3307504073166,北京,0.5,6.3,
3307504073154,广东省,0.2,6.3,
3307504073210,广东省,0.22,6.3,
3307484869942,河北省,0.2,6.3,
3307484869935,广西壮族自治区,0.14,6.3,
3307484869929,湖北省,0.53,6.3,
3307484869917,北京,0.2,6.3,
3307484869905,山东省,0.2,6.3,
3307484866408,内蒙古自治区,0.12,6.3,
3307484866391,北京,0.2,6.3,
3307581533588,海南省,0.5,6.3,
3307600964317,湖南省,0.64,6.3,
3307600964329,北京,0.28,6.3,
3307600964335,山西省,0.22,6.3,
3307581533564,湖北省,0.31,6.3,
3307581533576,河南省,0.35,6.3,
3307504073221,北京,0.16,6.3,
3307581533590,河南省,0.2,6.3,
3307581533606,广西壮族自治区,0.2,6.3,
3307581533618,山东省,0.36,6.3,
3307504073245,河南省,0.25,6.3,
3307504073233,北京,0.72,6.3,
3307600964305,北京,0.35,6.3,
3307480940754,北京,0.2,6.3,
3307482712612,广东省,0.2,6.3,
3307482712605,北京,0.4,6.3,
3307480940780,湖北省,0.2,6.3,
3307480940778,河北省,0.2,6.3,
3307480940766,福建省,0.2,6.3,
3307482712624,山西省,0.35,6.3,
3307480940742,山东省,0.2,6.3,
3307480940735,河南省,0.8,6.3,
